time,number,weekday,isRest,severity,priority,severity_num,priority_num,category,number,category,interval,,,
2002/9/23,206,2,0,3.922330097,0.286407767,18,13,3,0,1,"[0,110)",1,208,0.346666667
2002/9/24,192,3,0,4.010416667,0.348958333,29,18,3,100,2,"[110,150)",2,203,0.338333333
2002/9/25,245,4,0,3.934693878,0.26122449,34,16,3,135,3,"[150,1000)",3,189,0.315
2002/9/26,209,5,0,3.918660287,0.421052632,18,20,3,,,,,,
2002/9/27,225,6,0,4.093333333,0.533333333,30,27,3,,,,,,
2002/9/28,154,7,1,3.993506494,0.305194805,17,12,3,,,,,,
2002/9/29,149,1,1,3.738255034,0.281879195,16,11,3,,,,,,
2002/9/30,223,2,0,4.089686099,0.183856502,24,8,3,,,,,,
2002/10/1,218,3,0,3.972477064,0.266055046,28,12,3,,,,,,
2002/10/2,213,4,0,3.849765258,0.328638498,13,18,3,,,,,,
2002/10/3,244,5,0,3.950819672,0.237704918,35,15,3,,,,,,
2002/10/4,199,6,0,3.788944724,0.296482412,20,14,3,,,,,,
2002/10/5,107,7,1,3.878504673,0.242990654,16,6,2,,,,,,
2002/10/6,160,1,1,3.69375,0.31875,16,12,3,,,,,,
2002/10/7,209,2,0,4.043062201,0.368421053,29,17,3,,,,,,
2002/10/8,216,3,0,4.064814815,0.310185185,26,15,3,,,,,,
2002/10/9,240,4,0,3.85,0.329166667,21,20,3,,,,,,
2002/10/10,227,5,0,3.960352423,0.497797357,23,25,3,,,,,,
2002/10/11,189,6,0,3.947089947,0.253968254,24,11,3,,,,,,
2002/10/12,105,7,1,4.133333333,0.457142857,13,11,2,,,,,,
2002/10/13,116,1,1,3.862068966,0.49137931,11,14,2,,,,,,
2002/10/14,200,2,0,3.865,0.225,20,10,3,,,,,,
2002/10/15,196,3,0,3.857142857,0.301020408,19,16,3,,,,,,
2002/10/16,216,4,0,3.847222222,0.300925926,23,14,3,,,,,,
2002/10/17,281,5,0,3.768683274,0.544483986,20,38,3,,,,,,
2002/10/18,234,6,0,3.820512821,0.534188034,27,31,3,,,,,,
2002/10/19,152,7,1,3.789473684,0.335526316,12,12,3,,,,,,
2002/10/20,130,1,1,3.876923077,0.207692308,18,6,2,,,,,,
2002/10/21,232,2,0,3.887931034,0.400862069,20,20,3,,,,,,
2002/10/22,229,3,0,4.048034934,0.257641921,28,15,3,,,,,,
2002/10/23,249,4,0,3.654618474,0.389558233,20,24,3,,,,,,
2002/10/24,224,5,0,4.040178571,0.375,25,20,3,,,,,,
2002/10/25,198,6,0,3.883838384,0.292929293,15,14,3,,,,,,
2002/10/26,122,7,1,3.754098361,0.286885246,12,8,2,,,,,,
2002/10/27,100,1,1,3.88,0.3,7,7,2,,,,,,
2002/10/28,171,2,0,4.052631579,0.292397661,21,13,3,,,,,,
2002/10/29,191,3,0,3.968586387,0.581151832,24,26,3,,,,,,
2002/10/30,220,4,0,3.895454545,0.372727273,19,20,3,,,,,,
2002/10/31,208,5,0,3.990384615,0.307692308,30,15,3,,,,,,
2002/11/1,162,6,0,4.086419753,0.419753086,22,16,3,,,,,,
2002/11/2,112,7,1,3.642857143,0.330357143,4,8,2,,,,,,
2002/11/3,116,1,1,3.784482759,0.25,9,8,2,,,,,,
2002/11/4,146,2,0,3.808219178,0.465753425,16,16,3,,,,,,
2002/11/5,206,3,0,3.990291262,0.334951456,26,18,3,,,,,,
2002/11/6,209,4,0,3.85645933,0.406698565,19,20,3,,,,,,
2002/11/7,218,5,0,4.013761468,0.371559633,24,20,3,,,,,,
2002/11/8,139,6,0,3.935251799,0.352517986,12,12,3,,,,,,
2002/11/9,164,7,1,3.963414634,0.5,22,19,3,,,,,,
2002/11/10,127,1,1,3.818897638,0.37007874,17,12,2,,,,,,
2002/11/11,191,2,0,3.513089005,0.319371728,8,15,3,,,,,,
2002/11/12,226,3,0,3.840707965,0.292035398,29,15,3,,,,,,
2002/11/13,196,4,0,3.87244898,0.270408163,23,14,3,,,,,,
2002/11/14,193,5,0,3.937823834,0.21761658,24,9,3,,,,,,
2002/11/15,179,6,0,4.184357542,0.379888268,21,17,3,,,,,,
2002/11/16,104,7,1,3.769230769,0.211538462,15,5,2,,,,,,
2002/11/17,127,1,1,3.708661417,0.42519685,12,16,2,,,,,,
2002/11/18,188,2,0,3.946808511,0.265957447,21,12,3,,,,,,
2002/11/19,171,3,0,4.111111111,0.32748538,33,13,3,,,,,,
2002/11/20,199,4,0,3.884422111,0.266331658,22,13,3,,,,,,
2002/11/21,178,5,0,3.921348315,0.264044944,21,13,3,,,,,,
2002/11/22,172,6,0,3.523255814,0.348837209,11,15,3,,,,,,
2002/11/23,117,7,1,4.076923077,0.35042735,12,10,2,,,,,,
2002/11/24,117,1,1,3.692307692,0.230769231,13,7,2,,,,,,
2002/11/25,137,2,0,4.080291971,0.416058394,23,15,3,,,,,,
2002/11/26,189,3,0,3.846560847,0.502645503,23,25,3,,,,,,
2002/11/27,273,4,0,4.003663004,0.157509158,33,9,3,,,,,,
2002/11/28,172,5,0,3.860465116,0.209302326,20,7,3,,,,,,
2002/11/29,170,6,0,4.070588235,0.305882353,21,13,3,,,,,,
2002/11/30,96,7,1,4.291666667,0.395833333,21,8,1,,,,,,
2002/12/1,99,1,1,4,0.303030303,16,8,1,,,,,,
2002/12/2,185,2,0,3.821621622,0.172972973,12,8,3,,,,,,
