time,number,weekday,isRest,severity,priority,severity_num,priority_num,category,number,category,interval,,,
2007/8/28,144,3,0,3.902777778,0.527777778,10,19,2,0,1,"[0,110)",1,187,0.311666667
2007/8/29,153,4,0,4.111111111,0.22875817,17,9,2,120,2,"[110,150)",2,222,0.37
2007/8/30,126,5,0,3.928571429,0.26984127,8,8,2,170,3,"[150,1000)",3,191,0.318333333
2007/8/31,126,6,0,3.817460317,0.484126984,9,14,2,,,,,,
2007/9/1,75,7,1,3.986666667,0.293333333,10,5,1,,,,,,
2007/9/2,85,1,1,3.670588235,0.341176471,6,7,1,,,,,,
2007/9/3,124,2,0,3.991935484,0.233870968,16,7,2,,,,,,
2007/9/4,145,3,0,3.848275862,0.337931034,11,12,2,,,,,,
2007/9/5,162,4,0,3.851851852,0.462962963,13,17,2,,,,,,
2007/9/6,172,5,0,3.930232558,0.319767442,15,11,3,,,,,,
2007/9/7,127,6,0,3.716535433,0.551181102,8,16,2,,,,,,
2007/9/8,72,7,1,3.986111111,0.055555556,5,0,1,,,,,,
2007/9/9,72,1,1,3.958333333,0.319444444,12,6,1,,,,,,
2007/9/10,104,2,0,4.009615385,0.557692308,12,13,1,,,,,,
2007/9/11,103,3,0,3.990291262,0.27184466,11,6,1,,,,,,
2007/9/12,129,4,0,3.875968992,0.341085271,12,9,2,,,,,,
2007/9/13,123,5,0,3.894308943,0.25203252,12,7,2,,,,,,
2007/9/14,112,6,0,3.767857143,0.473214286,8,14,1,,,,,,
2007/9/15,57,7,1,4.228070175,0.649122807,11,9,1,,,,,,
2007/9/16,69,1,1,3.956521739,0.101449275,6,1,1,,,,,,
2007/9/17,126,2,0,4.031746032,0.26984127,19,7,2,,,,,,
2007/9/18,119,3,0,3.949579832,0.546218487,8,15,1,,,,,,
2007/9/19,181,4,0,4.104972376,0.35359116,20,16,3,,,,,,
2007/9/20,144,5,0,3.763888889,0.3125,12,12,2,,,,,,
2007/9/21,115,6,0,4.07826087,0.165217391,12,5,1,,,,,,
2007/9/22,81,7,1,4.061728395,0.49382716,8,10,1,,,,,,
2007/9/23,91,1,1,4.021978022,0.197802198,16,4,1,,,,,,
